extract_method,mapping_method,mapping_batch_size,mapping_num_features,mapping_cumulative_bovw,predict_method,mapping_dropout,mapping_dropout_rate,accuracy
orb,minibatch_kmeans,256,2048,False,log-regr,,,0.4110576923076923
orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.1,0.4038461538461538
orb,minibatch_kmeans,512,512,False,svm,,,0.4038461538461538
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.1,0.4014423076923077
orb,minibatch_kmeans,512,2048,False,log-regr,,,0.3990384615384615
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.2,0.3942307692307692
orb,minibatch_kmeans,512,2048,,log-reg,True,0.4,0.3918269230769231
orb,minibatch_kmeans,512,2048,,log-reg,True,0.2,0.3918269230769231
orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.2,0.3870192307692308
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.4,0.3846153846153846
orb,minibatch_kmeans,512,2048,,log-reg,True,0.1,0.3774038461538461
orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.4,0.3774038461538461
orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.3,0.3701923076923077
orb,minibatch_kmeans,512,1024,False,log-regr,,,0.3701923076923077
orb,minibatch_kmeans,512,2048,,log-reg,False,0.1,0.3677884615384615
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.3,0.3653846153846153
orb,minibatch_kmeans,256,2048,False,log-regr,,,0.3653846153846153
orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.2,0.3629807692307692
orb,minibatch_kmeans,256,1024,False,log-regr,,,0.3605769230769231
orb,minibatch_kmeans,512,2048,,log-reg,False,0.4,0.3605769230769231
orb,minibatch_kmeans,512,2048,,log-reg,False,0.2,0.3605769230769231
orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.1,0.3605769230769231
orb,minibatch_kmeans,512,1024,,log-reg,True,0.2,0.3581730769230769
orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.3,0.3581730769230769
orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.1,0.3557692307692308
orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.3,0.3533653846153846
orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.2,0.3461538461538461
orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.4,0.34375
orb,minibatch_kmeans,512,1024,,log-reg,False,0.4,0.34375
orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.4,0.3413461538461538
orb,minibatch_kmeans,256,512,False,log-regr,,,0.3413461538461538
orb,minibatch_kmeans,512,1024,False,log-regr,,,0.3389423076923077
orb,minibatch_kmeans,512,1024,,log-reg,False,0.2,0.3341346153846153
orb,minibatch_kmeans,512,1024,,log-reg,True,0.4,0.3341346153846153
orb,minibatch_kmeans,512,1024,,log-reg,False,0.3,0.3269230769230769
sift,minibatch_kmeans,256,2048,False,ridge,,,0.3269230769230769
orb,minibatch_kmeans,512,512,False,log-regr,,,0.3269230769230769
sift,minibatch_kmeans,512,2048,False,ridge,,,0.3245192307692308
orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.2,0.3245192307692308
orb,minibatch_kmeans,512,1024,,log-reg,False,0.1,0.3245192307692308
orb,minibatch_kmeans,512,2048,,log-reg,True,0.3,0.3221153846153846
orb,minibatch_kmeans,256,512,False,log-regr,,,0.3221153846153846
orb,minibatch_kmeans,256,1024,False,log-regr,,,0.3221153846153846
orb,minibatch_kmeans,512,1024,,log-reg,True,0.1,0.3197115384615384
orb,minibatch_kmeans,512,512,False,ridge,,,0.3100961538461538
orb,minibatch_kmeans,512,512,False,log-regr,,,0.3100961538461538
orb,minibatch_kmeans,512,1024,,log-reg,True,0.3,0.3076923076923077
orb,minibatch_kmeans,256,512,False,cv-ridge,,,0.3004807692307692
orb,minibatch_kmeans,512,1024,,svm,False,0.3,0.3004807692307692
orb,minibatch_kmeans,512,1024,False,cv-ridge,,,0.2980769230769231
orb,minibatch_kmeans,512,1024,,svm,True,0.1,0.2980769230769231
orb,minibatch_kmeans,512,1024,,svm,True,0.3,0.2956730769230769
orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.1,0.2932692307692308
orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.2,0.2932692307692308
orb,minibatch_kmeans,512,1024,,svm,True,0.2,0.2932692307692308
orb,minibatch_kmeans,512,1024,,svm,True,0.4,0.2908653846153846
orb,minibatch_kmeans,512,1024,,svm,False,0.4,0.2908653846153846
orb,minibatch_kmeans,512,1024,,svm,False,0.2,0.2908653846153846
orb,minibatch_kmeans,512,2048,,svm,True,0.3,0.2908653846153846
orb,minibatch_kmeans,256,512,False,log-regr,,,0.2908653846153846
orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.4,0.2908653846153846
orb,minibatch_kmeans,512,2048,,svm,False,0.3,0.2908653846153846
orb,minibatch_kmeans,512,2048,,svm,False,0.1,0.2884615384615384
orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.1,0.2860576923076923
orb,minibatch_kmeans,512,2048,False,cv-ridge,,,0.2860576923076923
orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.1,0.2860576923076923
orb,minibatch_kmeans,512,2048,,svm,True,0.2,0.2836538461538461
orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.3,0.2836538461538461
orb,minibatch_kmeans,512,1024,,svm,False,0.1,0.28125
orb,minibatch_kmeans,512,2048,,svm,True,0.1,0.2788461538461538
orb,minibatch_kmeans,256,512,False,ridge,,,0.2788461538461538
orb,minibatch_kmeans,512,2048,,svm,False,0.2,0.2764423076923077
orb,minibatch_kmeans,512,2048,,svm,False,0.4,0.2764423076923077
orb,minibatch_kmeans,512,512,False,cv-ridge,,,0.2740384615384615
orb,minibatch_kmeans,512,2048,,svm,True,0.4,0.2716346153846153
orb,minibatch_kmeans,512,1024,False,ridge,,,0.2716346153846153
orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.3,0.2716346153846153
orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.4,0.2668269230769231
orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.1,0.2668269230769231
orb,minibatch_kmeans,512,512,False,log-regr,,,0.2644230769230769
orb,minibatch_kmeans,256,1024,False,ridge,,,0.2644230769230769
orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.2,0.2644230769230769
orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.3,0.2644230769230769
orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.4,0.2596153846153846
orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.2,0.2572115384615384
orb,minibatch_kmeans,256,1024,False,cv-ridge,,,0.2548076923076923
orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.3,0.2548076923076923
orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.4,0.25
orb,minibatch_kmeans,256,2048,False,cv-ridge,,,0.2427884615384615
orb,minibatch_kmeans,256,2048,False,ridge,,,0.2379807692307692
orb,minibatch_kmeans,512,2048,False,ridge,,,0.2091346153846154
